> cat("bert_msr_bert_msr:",bert_msr_bert_msr)
icsi_wsj_icsi_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 496.052576017278 )> cat("icsi_wsj_isg_msr:",icsi_wsj_isg_msr)
icsi_wsj_isg_msr: Strong Evidence for no effect (same distribution)  (BF = 28.3657178148769 )> cat("icsi_wsj_isg_neg:",icsi_wsj_isg_neg)
icsi_wsj_isg_neg: Very Strong Evidence for effect (different distributions)  (BF = 1932819.72067233 )> cat("icsi_wsj_isg_wsj:",icsi_wsj_isg_wsj)
icsi_wsj_isg_wsj: No evidence for no effect (same distribution)  (BF = 2.70724379178139 )> cat("icsi_wsj_osu_msr:",icsi_wsj_osu_msr)
icsi_wsj_osu_msr: Positive Evidence for no effect (same distribution)  (BF = 11.871927652529 )> cat("icsi_wsj_osu_neg:",icsi_wsj_osu_neg)
icsi_wsj_osu_neg: Very Strong Evidence for effect (different distributions)  (BF = 1949605049.82036 )> cat("icsi_wsj_osu_wsj:",icsi_wsj_osu_wsj)
icsi_wsj_osu_wsj: No evidence for no effect (same distribution)  (BF = 2.46268511187531 )> cat("icsi_wsj_roberta_msr:",icsi_wsj_roberta_msr)
icsi_wsj_roberta_msr: No evidence for effect (different distributions)  (BF = 1.85118738547172 )> cat("icsi_wsj_roberta_neg:",icsi_wsj_roberta_neg)
icsi_wsj_roberta_neg: Very Strong Evidence for effect (different distributions)  (BF = 1742531084287.18 )> cat("icsi_wsj_roberta_wsj:",icsi_wsj_roberta_wsj)
icsi_wsj_roberta_wsj: Very Strong Evidence for effect (different distributions)  (BF = 2.29794402038681e+29 )> cat("icsi_wsj_udel_msr:",icsi_wsj_udel_msr)
icsi_wsj_udel_msr: Strong Evidence for no effect (same distribution)  (BF = 33.8022203893495 )> cat("icsi_wsj_udel_neg:",icsi_wsj_udel_neg)
icsi_wsj_udel_neg: Very Strong Evidence for effect (different distributions)  (BF = 1742531084287.18 )> cat("icsi_wsj_udel_wsj:",icsi_wsj_udel_wsj)
icsi_wsj_udel_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 227.038078179476 )> cat("isg_msr_bert_msr:",isg_msr_bert_msr)
isg_msr_bert_msr: Positive Evidence for no effect (same distribution)  (BF = 4.38524490150897 )> cat("isg_msr_bert_neg:",isg_msr_bert_neg)
isg_msr_bert_neg: Very Strong Evidence for effect (different distributions)  (BF = 813.551486791584 )> cat("isg_msr_bert_wsj:",isg_msr_bert_wsj)
isg_msr_bert_wsj: Very Strong Evidence for effect (different distributions)  (BF = 4947564063.65857 )> cat("isg_msr_cnts_msr:",isg_msr_cnts_msr)
isg_msr_cnts_msr: Strong Evidence for no effect (same distribution)  (BF = 48.7985918708782 )> cat("isg_msr_cnts_neg:",isg_msr_cnts_neg)
isg_msr_cnts_neg: Very Strong Evidence for effect (different distributions)  (BF = 5792.48257570661 )> cat("isg_msr_cnts_wsj:",isg_msr_cnts_wsj)
isg_msr_cnts_wsj: Strong Evidence for no effect (same distribution)  (BF = 20.9034984744447 )> cat("isg_msr_icsi_msr:",isg_msr_icsi_msr)
isg_msr_icsi_msr: Positive Evidence for no effect (same distribution)  (BF = 6.56901270894695 )> cat("isg_msr_icsi_neg:",isg_msr_icsi_neg)
isg_msr_icsi_neg: Very Strong Evidence for effect (different distributions)  (BF = 438186.344602528 )> cat("isg_msr_icsi_wsj:",isg_msr_icsi_wsj)
isg_msr_icsi_wsj: Strong Evidence for no effect (same distribution)  (BF = 28.3657178148769 )> cat("isg_msr_isg_msr:",isg_msr_isg_msr)
isg_msr_isg_msr: Strong Evidence for no effect (same distribution)  (BF = 97.0557771551003 )> cat("isg_msr_isg_neg:",isg_msr_isg_neg)
isg_msr_isg_neg: Very Strong Evidence for effect (different distributions)  (BF = 331.876633138048 )> cat("isg_msr_isg_wsj:",isg_msr_isg_wsj)
isg_msr_isg_wsj: Strong Evidence for no effect (same distribution)  (BF = 36.965233586141 )> cat("isg_msr_osu_msr:",isg_msr_osu_msr)
isg_msr_osu_msr: Strong Evidence for no effect (same distribution)  (BF = 71.3585343319956 )> cat("isg_msr_osu_neg:",isg_msr_osu_neg)
isg_msr_osu_neg: Very Strong Evidence for effect (different distributions)  (BF = 22252.0126598485 )> cat("isg_msr_osu_wsj:",isg_msr_osu_wsj)
isg_msr_osu_wsj: Strong Evidence for no effect (same distribution)  (BF = 34.6341235414022 )> cat("isg_msr_roberta_msr:",isg_msr_roberta_msr)
isg_msr_roberta_msr: Positive Evidence for no effect (same distribution)  (BF = 8.30548155893454 )> cat("isg_msr_roberta_neg:",isg_msr_roberta_neg)
isg_msr_roberta_neg: Very Strong Evidence for effect (different distributions)  (BF = 1614728.46674702 )> cat("isg_msr_roberta_wsj:",isg_msr_roberta_wsj)
isg_msr_roberta_wsj: Very Strong Evidence for effect (different distributions)  (BF = 19953385682342.7 )> cat("isg_msr_udel_msr:",isg_msr_udel_msr)
isg_msr_udel_msr: Strong Evidence for no effect (same distribution)  (BF = 95.4476019726828 )> cat("isg_msr_udel_neg:",isg_msr_udel_neg)
isg_msr_udel_neg: Very Strong Evidence for effect (different distributions)  (BF = 1614728.46674702 )> cat("isg_msr_udel_wsj:",isg_msr_udel_wsj)
isg_msr_udel_wsj: Positive Evidence for no effect (same distribution)  (BF = 12.9089875433018 )> cat("isg_neg_bert_msr:",isg_neg_bert_msr)
isg_neg_bert_msr: No evidence for no effect (same distribution)  (BF = 1.63174259299099 )> cat("isg_neg_bert_neg:",isg_neg_bert_neg)
isg_neg_bert_neg: Strong Evidence for no effect (same distribution)  (BF = 103.895612529122 )> cat("isg_neg_bert_wsj:",isg_neg_bert_wsj)
isg_neg_bert_wsj: Positive Evidence for no effect (same distribution)  (BF = 8.8126118094817 )> cat("isg_neg_cnts_msr:",isg_neg_cnts_msr)
isg_neg_cnts_msr: Strong Evidence for effect (different distributions)  (BF = 26.2670152105443 )> cat("isg_neg_cnts_neg:",isg_neg_cnts_neg)
isg_neg_cnts_neg: Strong Evidence for no effect (same distribution)  (BF = 61.5311818942602 )> cat("isg_neg_cnts_wsj:",isg_neg_cnts_wsj)
isg_neg_cnts_wsj: Very Strong Evidence for effect (different distributions)  (BF = 5297881.85231437 )> cat("isg_neg_icsi_msr:",isg_neg_icsi_msr)
isg_neg_icsi_msr: No evidence for no effect (same distribution)  (BF = 1.00435836033304 )> cat("isg_neg_icsi_neg:",isg_neg_icsi_neg)
isg_neg_icsi_neg: Positive Evidence for no effect (same distribution)  (BF = 16.164425078301 )> cat("isg_neg_icsi_wsj:",isg_neg_icsi_wsj)
isg_neg_icsi_wsj: Very Strong Evidence for effect (different distributions)  (BF = 1932819.72067233 )> cat("isg_neg_isg_msr:",isg_neg_isg_msr)
isg_neg_isg_msr: Very Strong Evidence for effect (different distributions)  (BF = 331.876633138048 )> cat("isg_neg_isg_neg:",isg_neg_isg_neg)
isg_neg_isg_neg: Strong Evidence for no effect (same distribution)  (BF = 111.8773960214 )> cat("isg_neg_isg_wsj:",isg_neg_isg_wsj)
isg_neg_isg_wsj: Strong Evidence for effect (different distributions)  (BF = 39.9574830508249 )> cat("isg_neg_osu_msr:",isg_neg_osu_msr)
isg_neg_osu_msr: Strong Evidence for effect (different distributions)  (BF = 64.4238354744309 )> cat("isg_neg_osu_neg:",isg_neg_osu_neg)
isg_neg_osu_neg: Strong Evidence for no effect (same distribution)  (BF = 39.9260814667959 )> cat("isg_neg_osu_wsj:",isg_neg_osu_wsj)
isg_neg_osu_wsj: Strong Evidence for effect (different distributions)  (BF = 35.2440789529698 )> cat("isg_neg_roberta_msr:",isg_neg_roberta_msr)
isg_neg_roberta_msr: No evidence for effect (different distributions)  (BF = 1.35333547621711 )> cat("isg_neg_roberta_neg:",isg_neg_roberta_neg)
isg_neg_roberta_neg: Positive Evidence for no effect (same distribution)  (BF = 11.1745372323175 )> cat("isg_neg_roberta_wsj:",isg_neg_roberta_wsj)
isg_neg_roberta_wsj: No evidence for no effect (same distribution)  (BF = 1.35669008451719 )> cat("isg_neg_udel_msr:",isg_neg_udel_msr)
isg_neg_udel_msr: Very Strong Evidence for effect (different distributions)  (BF = 470.701972695335 )> cat("isg_neg_udel_neg:",isg_neg_udel_neg)
isg_neg_udel_neg: Positive Evidence for no effect (same distribution)  (BF = 11.1745372323175 )> cat("isg_neg_udel_wsj:",isg_neg_udel_wsj)
isg_neg_udel_wsj: Very Strong Evidence for effect (different distributions)  (BF = 28254486.7177346 )> cat("isg_wsj_bert_msr:",isg_wsj_bert_msr)
isg_wsj_bert_msr: Strong Evidence for no effect (same distribution)  (BF = 26.1224125155842 )> cat("isg_wsj_bert_neg:",isg_wsj_bert_neg)
isg_wsj_bert_neg: Strong Evidence for effect (different distributions)  (BF = 97.5485376835733 )> cat("isg_wsj_bert_wsj:",isg_wsj_bert_wsj)
isg_wsj_bert_wsj: Very Strong Evidence for effect (different distributions)  (BF = 21202890204.7854 )> cat("isg_wsj_cnts_msr:",isg_wsj_cnts_msr)
isg_wsj_cnts_msr: Strong Evidence for no effect (same distribution)  (BF = 149.228393104488 )> cat("isg_wsj_cnts_neg:",isg_wsj_cnts_neg)
isg_wsj_cnts_neg: Very Strong Evidence for effect (different distributions)  (BF = 721.011690412583 )> cat("isg_wsj_cnts_wsj:",isg_wsj_cnts_wsj)
isg_wsj_cnts_wsj: No evidence for no effect (same distribution)  (BF = 1.71843089872786 )> cat("isg_wsj_icsi_msr:",isg_wsj_icsi_msr)
isg_wsj_icsi_msr: Strong Evidence for no effect (same distribution)  (BF = 41.3252188028304 )> cat("isg_wsj_icsi_neg:",isg_wsj_icsi_neg)
isg_wsj_icsi_neg: Very Strong Evidence for effect (different distributions)  (BF = 69790.000064768 )> cat("isg_wsj_icsi_wsj:",isg_wsj_icsi_wsj)
isg_wsj_icsi_wsj: No evidence for no effect (same distribution)  (BF = 2.70724379178139 )> cat("isg_wsj_isg_msr:",isg_wsj_isg_msr)
isg_wsj_isg_msr: Strong Evidence for no effect (same distribution)  (BF = 36.965233586141 )> cat("isg_wsj_isg_neg:",isg_wsj_isg_neg)
isg_wsj_isg_neg: Strong Evidence for effect (different distributions)  (BF = 39.9574830508249 )> cat("isg_wsj_isg_wsj:",isg_wsj_isg_wsj)
isg_wsj_isg_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 603.546915604721 )> cat("isg_wsj_osu_msr:",isg_wsj_osu_msr)
isg_wsj_osu_msr: Strong Evidence for no effect (same distribution)  (BF = 91.937567768441 )> cat("isg_wsj_osu_neg:",isg_wsj_osu_neg)
isg_wsj_osu_neg: Very Strong Evidence for effect (different distributions)  (BF = 2929.09700813678 )> cat("isg_wsj_osu_wsj:",isg_wsj_osu_wsj)
isg_wsj_osu_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 600.693317919034 )> cat("isg_wsj_roberta_msr:",isg_wsj_roberta_msr)
isg_wsj_roberta_msr: Strong Evidence for no effect (same distribution)  (BF = 54.6218467714184 )> cat("isg_wsj_roberta_neg:",isg_wsj_roberta_neg)
isg_wsj_roberta_neg: Very Strong Evidence for effect (different distributions)  (BF = 286093.427667671 )> cat("isg_wsj_roberta_wsj:",isg_wsj_roberta_wsj)
isg_wsj_roberta_wsj: Very Strong Evidence for effect (different distributions)  (BF = 1145091452781386 )> cat("isg_wsj_udel_msr:",isg_wsj_udel_msr)
isg_wsj_udel_msr: Strong Evidence for no effect (same distribution)  (BF = 30.9061795393994 )> cat("isg_wsj_udel_neg:",isg_wsj_udel_neg)
isg_wsj_udel_neg: Very Strong Evidence for effect (different distributions)  (BF = 286093.427667671 )> cat("isg_wsj_udel_wsj:",isg_wsj_udel_wsj)
isg_wsj_udel_wsj: No evidence for effect (different distributions)  (BF = 1.28227848199428 )> cat("osu_msr_bert_msr:",osu_msr_bert_msr)
osu_msr_bert_msr: Positive Evidence for no effect (same distribution)  (BF = 9.64767826844264 )> cat("osu_msr_bert_neg:",osu_msr_bert_neg)
osu_msr_bert_neg: Strong Evidence for effect (different distributions)  (BF = 143.184832079704 )> cat("osu_msr_bert_wsj:",osu_msr_bert_wsj)
osu_msr_bert_wsj: Very Strong Evidence for effect (different distributions)  (BF = 125371246.357669 )> cat("osu_msr_cnts_msr:",osu_msr_cnts_msr)
osu_msr_cnts_msr: Strong Evidence for no effect (same distribution)  (BF = 88.3927686657767 )> cat("osu_msr_cnts_neg:",osu_msr_cnts_neg)
osu_msr_cnts_neg: Very Strong Evidence for effect (different distributions)  (BF = 834.840592225503 )> cat("osu_msr_cnts_wsj:",osu_msr_cnts_wsj)
osu_msr_cnts_wsj: Positive Evidence for no effect (same distribution)  (BF = 8.73450775029653 )> cat("osu_msr_icsi_msr:",osu_msr_icsi_msr)
osu_msr_icsi_msr: Positive Evidence for no effect (same distribution)  (BF = 14.1293614927903 )> cat("osu_msr_icsi_neg:",osu_msr_icsi_neg)
osu_msr_icsi_neg: Very Strong Evidence for effect (different distributions)  (BF = 42931.8885338497 )> cat("osu_msr_icsi_wsj:",osu_msr_icsi_wsj)
osu_msr_icsi_wsj: Positive Evidence for no effect (same distribution)  (BF = 11.871927652529 )> cat("osu_msr_isg_msr:",osu_msr_isg_msr)
osu_msr_isg_msr: Strong Evidence for no effect (same distribution)  (BF = 71.3585343319956 )> cat("osu_msr_isg_neg:",osu_msr_isg_neg)
osu_msr_isg_neg: Strong Evidence for effect (different distributions)  (BF = 64.4238354744309 )> cat("osu_msr_isg_wsj:",osu_msr_isg_wsj)
osu_msr_isg_wsj: Strong Evidence for no effect (same distribution)  (BF = 91.937567768441 )> cat("osu_msr_osu_msr:",osu_msr_osu_msr)
osu_msr_osu_msr: Strong Evidence for no effect (same distribution)  (BF = 99.5614628028459 )> cat("osu_msr_osu_neg:",osu_msr_osu_neg)
osu_msr_osu_neg: Very Strong Evidence for effect (different distributions)  (BF = 2824.27007660384 )> cat("osu_msr_osu_wsj:",osu_msr_osu_wsj)
osu_msr_osu_wsj: Strong Evidence for no effect (same distribution)  (BF = 86.2165693640753 )> cat("osu_msr_roberta_msr:",osu_msr_roberta_msr)
osu_msr_roberta_msr: Positive Evidence for no effect (same distribution)  (BF = 17.7077131999286 )> cat("osu_msr_roberta_neg:",osu_msr_roberta_neg)
osu_msr_roberta_neg: Very Strong Evidence for effect (different distributions)  (BF = 142408.250819695 )> cat("osu_msr_roberta_wsj:",osu_msr_roberta_wsj)
osu_msr_roberta_wsj: Very Strong Evidence for effect (different distributions)  (BF = 269080715697.184 )> cat("osu_msr_udel_msr:",osu_msr_udel_msr)
osu_msr_udel_msr: Strong Evidence for no effect (same distribution)  (BF = 63.2250901795368 )> cat("osu_msr_udel_neg:",osu_msr_udel_neg)
osu_msr_udel_neg: Very Strong Evidence for effect (different distributions)  (BF = 142408.250819695 )> cat("osu_msr_udel_wsj:",osu_msr_udel_wsj)
osu_msr_udel_wsj: Positive Evidence for no effect (same distribution)  (BF = 5.29458465268468 )> cat("osu_neg_bert_msr:",osu_neg_bert_msr)
osu_neg_bert_msr: Positive Evidence for effect (different distributions)  (BF = 5.90935531861787 )> cat("osu_neg_bert_neg:",osu_neg_bert_neg)
osu_neg_bert_neg: Strong Evidence for no effect (same distribution)  (BF = 57.3364917794218 )> cat("osu_neg_bert_wsj:",osu_neg_bert_wsj)
osu_neg_bert_wsj: Strong Evidence for no effect (same distribution)  (BF = 60.5241679860553 )> cat("osu_neg_cnts_msr:",osu_neg_cnts_msr)
osu_neg_cnts_msr: Very Strong Evidence for effect (different distributions)  (BF = 893.156493658347 )> cat("osu_neg_cnts_neg:",osu_neg_cnts_neg)
osu_neg_cnts_neg: Strong Evidence for no effect (same distribution)  (BF = 106.634364413874 )> cat("osu_neg_cnts_wsj:",osu_neg_cnts_wsj)
osu_neg_cnts_wsj: Very Strong Evidence for effect (different distributions)  (BF = 6463968803.82137 )> cat("osu_neg_icsi_msr:",osu_neg_icsi_msr)
osu_neg_icsi_msr: Positive Evidence for effect (different distributions)  (BF = 11.434919028683 )> cat("osu_neg_icsi_neg:",osu_neg_icsi_neg)
osu_neg_icsi_neg: Strong Evidence for no effect (same distribution)  (BF = 77.7782461267579 )> cat("osu_neg_icsi_wsj:",osu_neg_icsi_wsj)
osu_neg_icsi_wsj: Very Strong Evidence for effect (different distributions)  (BF = 1949605049.82036 )> cat("osu_neg_isg_msr:",osu_neg_isg_msr)
osu_neg_isg_msr: Very Strong Evidence for effect (different distributions)  (BF = 22252.0126598485 )> cat("osu_neg_isg_neg:",osu_neg_isg_neg)
osu_neg_isg_neg: Strong Evidence for no effect (same distribution)  (BF = 39.9260814667959 )> cat("osu_neg_isg_wsj:",osu_neg_isg_wsj)
osu_neg_isg_wsj: Very Strong Evidence for effect (different distributions)  (BF = 2929.09700813678 )> cat("osu_neg_osu_msr:",osu_neg_osu_msr)
osu_neg_osu_msr: Very Strong Evidence for effect (different distributions)  (BF = 2824.27007660384 )> cat("osu_neg_osu_neg:",osu_neg_osu_neg)
osu_neg_osu_neg: Strong Evidence for no effect (same distribution)  (BF = 125.061532719915 )> cat("osu_neg_osu_wsj:",osu_neg_osu_wsj)
osu_neg_osu_wsj: Very Strong Evidence for effect (different distributions)  (BF = 2481.39738386168 )> cat("osu_neg_roberta_msr:",osu_neg_roberta_msr)
osu_neg_roberta_msr: Positive Evidence for effect (different distributions)  (BF = 17.3639888712917 )> cat("osu_neg_roberta_neg:",osu_neg_roberta_neg)
osu_neg_roberta_neg: Strong Evidence for no effect (same distribution)  (BF = 54.8234721218584 )> cat("osu_neg_roberta_wsj:",osu_neg_roberta_wsj)
osu_neg_roberta_wsj: Positive Evidence for no effect (same distribution)  (BF = 11.0691967938107 )> cat("osu_neg_udel_msr:",osu_neg_udel_msr)
osu_neg_udel_msr: Very Strong Evidence for effect (different distributions)  (BF = 34359.8462761613 )> cat("osu_neg_udel_neg:",osu_neg_udel_neg)
osu_neg_udel_neg: Strong Evidence for no effect (same distribution)  (BF = 54.8234721218584 )> cat("osu_neg_udel_wsj:",osu_neg_udel_wsj)
osu_neg_udel_wsj: Very Strong Evidence for effect (different distributions)  (BF = 46817302592.9885 )> cat("osu_wsj_bert_msr:",osu_wsj_bert_msr)
osu_wsj_bert_msr: Strong Evidence for no effect (same distribution)  (BF = 27.9392437033196 )> cat("osu_wsj_bert_neg:",osu_wsj_bert_neg)
osu_wsj_bert_neg: Strong Evidence for effect (different distributions)  (BF = 85.2466504391539 )> cat("osu_wsj_bert_wsj:",osu_wsj_bert_wsj)
osu_wsj_bert_wsj: Very Strong Evidence for effect (different distributions)  (BF = 14839300961.8296 )> cat("osu_wsj_cnts_msr:",osu_wsj_cnts_msr)
osu_wsj_cnts_msr: Strong Evidence for no effect (same distribution)  (BF = 142.244572799583 )> cat("osu_wsj_cnts_neg:",osu_wsj_cnts_neg)
osu_wsj_cnts_neg: Very Strong Evidence for effect (different distributions)  (BF = 618.227054443967 )> cat("osu_wsj_cnts_wsj:",osu_wsj_cnts_wsj)
osu_wsj_cnts_wsj: No evidence for no effect (same distribution)  (BF = 1.55329518105017 )> cat("osu_wsj_icsi_msr:",osu_wsj_icsi_msr)
osu_wsj_icsi_msr: Strong Evidence for no effect (same distribution)  (BF = 44.2707303761603 )> cat("osu_wsj_icsi_neg:",osu_wsj_icsi_neg)
osu_wsj_icsi_neg: Very Strong Evidence for effect (different distributions)  (BF = 57693.6031432142 )> cat("osu_wsj_icsi_wsj:",osu_wsj_icsi_wsj)
osu_wsj_icsi_wsj: No evidence for no effect (same distribution)  (BF = 2.46268511187531 )> cat("osu_wsj_isg_msr:",osu_wsj_isg_msr)
osu_wsj_isg_msr: Strong Evidence for no effect (same distribution)  (BF = 34.6341235414022 )> cat("osu_wsj_isg_neg:",osu_wsj_isg_neg)
osu_wsj_isg_neg: Strong Evidence for effect (different distributions)  (BF = 35.2440789529698 )> cat("osu_wsj_isg_wsj:",osu_wsj_isg_wsj)
osu_wsj_isg_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 600.693317919034 )> cat("osu_wsj_osu_msr:",osu_wsj_osu_msr)
osu_wsj_osu_msr: Strong Evidence for no effect (same distribution)  (BF = 86.2165693640753 )> cat("osu_wsj_osu_neg:",osu_wsj_osu_neg)
osu_wsj_osu_neg: Very Strong Evidence for effect (different distributions)  (BF = 2481.39738386168 )> cat("osu_wsj_osu_wsj:",osu_wsj_osu_wsj)
osu_wsj_osu_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 607.389716238239 )> cat("osu_wsj_roberta_msr:",osu_wsj_roberta_msr)
osu_wsj_roberta_msr: Strong Evidence for no effect (same distribution)  (BF = 58.5630267468206 )> cat("osu_wsj_roberta_neg:",osu_wsj_roberta_neg)
osu_wsj_roberta_neg: Very Strong Evidence for effect (different distributions)  (BF = 234178.167081001 )> cat("osu_wsj_roberta_wsj:",osu_wsj_roberta_wsj)
osu_wsj_roberta_wsj: Very Strong Evidence for effect (different distributions)  (BF = 748648516524409 )> cat("osu_wsj_udel_msr:",osu_wsj_udel_msr)
osu_wsj_udel_msr: Strong Evidence for no effect (same distribution)  (BF = 28.9711254697787 )> cat("osu_wsj_udel_neg:",osu_wsj_udel_neg)
osu_wsj_udel_neg: Very Strong Evidence for effect (different distributions)  (BF = 234178.167081001 )> cat("osu_wsj_udel_wsj:",osu_wsj_udel_wsj)
osu_wsj_udel_wsj: No evidence for effect (different distributions)  (BF = 1.43638921182654 )> cat("roberta_msr_bert_msr:",roberta_msr_bert_msr)
roberta_msr_bert_msr: Strong Evidence for no effect (same distribution)  (BF = 87.1603223165974 )> cat("roberta_msr_bert_neg:",roberta_msr_bert_neg)
roberta_msr_bert_neg: No evidence for effect (different distributions)  (BF = 2.28827750933574 )> cat("roberta_msr_bert_wsj:",roberta_msr_bert_wsj)
roberta_msr_bert_wsj: Very Strong Evidence for effect (different distributions)  (BF = 11305.6239659108 )> cat("roberta_msr_cnts_msr:",roberta_msr_cnts_msr)
roberta_msr_cnts_msr: Strong Evidence for no effect (same distribution)  (BF = 27.7975117955421 )> cat("roberta_msr_cnts_neg:",roberta_msr_cnts_neg)
roberta_msr_cnts_neg: Positive Evidence for effect (different distributions)  (BF = 7.48285569864406 )> cat("roberta_msr_cnts_wsj:",roberta_msr_cnts_wsj)
roberta_msr_cnts_wsj: No evidence for effect (different distributions)  (BF = 2.90558520337783 )> cat("roberta_msr_icsi_msr:",roberta_msr_icsi_msr)
roberta_msr_icsi_msr: Strong Evidence for no effect (same distribution)  (BF = 105.604240191149 )> cat("roberta_msr_icsi_neg:",roberta_msr_icsi_neg)
roberta_msr_icsi_neg: Strong Evidence for effect (different distributions)  (BF = 121.182474938014 )> cat("roberta_msr_icsi_wsj:",roberta_msr_icsi_wsj)
roberta_msr_icsi_wsj: No evidence for effect (different distributions)  (BF = 1.85118738547172 )> cat("roberta_msr_isg_msr:",roberta_msr_isg_msr)
roberta_msr_isg_msr: Positive Evidence for no effect (same distribution)  (BF = 8.30548155893454 )> cat("roberta_msr_isg_neg:",roberta_msr_isg_neg)
roberta_msr_isg_neg: No evidence for effect (different distributions)  (BF = 1.35333547621711 )> cat("roberta_msr_isg_wsj:",roberta_msr_isg_wsj)
roberta_msr_isg_wsj: Strong Evidence for no effect (same distribution)  (BF = 54.6218467714184 )> cat("roberta_msr_osu_msr:",roberta_msr_osu_msr)
roberta_msr_osu_msr: Positive Evidence for no effect (same distribution)  (BF = 17.7077131999286 )> cat("roberta_msr_osu_neg:",roberta_msr_osu_neg)
roberta_msr_osu_neg: Positive Evidence for effect (different distributions)  (BF = 17.3639888712917 )> cat("roberta_msr_osu_wsj:",roberta_msr_osu_wsj)
roberta_msr_osu_wsj: Strong Evidence for no effect (same distribution)  (BF = 58.5630267468206 )> cat("roberta_msr_roberta_msr:",roberta_msr_roberta_msr)
roberta_msr_roberta_msr: Strong Evidence for no effect (same distribution)  (BF = 108.897292513778 )> cat("roberta_msr_roberta_neg:",roberta_msr_roberta_neg)
roberta_msr_roberta_neg: Very Strong Evidence for effect (different distributions)  (BF = 292.282424605006 )> cat("roberta_msr_roberta_wsj:",roberta_msr_roberta_wsj)
roberta_msr_roberta_wsj: Very Strong Evidence for effect (different distributions)  (BF = 3603412.58167344 )> cat("roberta_msr_udel_msr:",roberta_msr_udel_msr)
roberta_msr_udel_msr: Positive Evidence for no effect (same distribution)  (BF = 7.11681776915907 )> cat("roberta_msr_udel_neg:",roberta_msr_udel_neg)
roberta_msr_udel_neg: Very Strong Evidence for effect (different distributions)  (BF = 292.282424605006 )> cat("roberta_msr_udel_wsj:",roberta_msr_udel_wsj)
roberta_msr_udel_wsj: Positive Evidence for effect (different distributions)  (BF = 6.31035323888223 )> cat("roberta_neg_bert_msr:",roberta_neg_bert_msr)
roberta_neg_bert_msr: Strong Evidence for effect (different distributions)  (BF = 74.6560497829114 )> cat("roberta_neg_bert_neg:",roberta_neg_bert_neg)
roberta_neg_bert_neg: Positive Evidence for no effect (same distribution)  (BF = 16.1741002317321 )> cat("roberta_neg_bert_wsj:",roberta_neg_bert_wsj)
roberta_neg_bert_wsj: Very Strong Evidence for no effect (same distribution)  (BF = 291.797323215553 )> cat("roberta_neg_cnts_msr:",roberta_neg_cnts_msr)
roberta_neg_cnts_msr: Very Strong Evidence for effect (different distributions)  (BF = 36167.2263922246 )> cat("roberta_neg_cnts_neg:",roberta_neg_cnts_neg)
roberta_neg_cnts_neg: Strong Evidence for no effect (same distribution)  (BF = 34.1257159155011 )> cat("roberta_neg_cnts_wsj:",roberta_neg_cnts_wsj)
roberta_neg_cnts_wsj: Very Strong Evidence for effect (different distributions)  (BF = 6774827424215.67 )> cat("roberta_neg_icsi_msr:",roberta_neg_icsi_msr)
roberta_neg_icsi_msr: Very Strong Evidence for effect (different distributions)  (BF = 172.707070360535 )> cat("roberta_neg_icsi_neg:",roberta_neg_icsi_neg)
roberta_neg_icsi_neg: Strong Evidence for no effect (same distribution)  (BF = 123.750238206965 )> cat("roberta_neg_icsi_wsj:",roberta_neg_icsi_wsj)
roberta_neg_icsi_wsj: Very Strong Evidence for effect (different distributions)  (BF = 1742531084287.18 )> cat("roberta_neg_isg_msr:",roberta_neg_isg_msr)
roberta_neg_isg_msr: Very Strong Evidence for effect (different distributions)  (BF = 1614728.46674702 )> cat("roberta_neg_isg_neg:",roberta_neg_isg_neg)
roberta_neg_isg_neg: Positive Evidence for no effect (same distribution)  (BF = 11.1745372323175 )> cat("roberta_neg_isg_wsj:",roberta_neg_isg_wsj)
roberta_neg_isg_wsj: Very Strong Evidence for effect (different distributions)  (BF = 286093.427667671 )> cat("roberta_neg_osu_msr:",roberta_neg_osu_msr)
roberta_neg_osu_msr: Very Strong Evidence for effect (different distributions)  (BF = 142408.250819695 )> cat("roberta_neg_osu_neg:",roberta_neg_osu_neg)
roberta_neg_osu_neg: Strong Evidence for no effect (same distribution)  (BF = 54.8234721218584 )> cat("roberta_neg_osu_wsj:",roberta_neg_osu_wsj)
roberta_neg_osu_wsj: Very Strong Evidence for effect (different distributions)  (BF = 234178.167081001 )> cat("roberta_neg_roberta_msr:",roberta_neg_roberta_msr)
roberta_neg_roberta_msr: Very Strong Evidence for effect (different distributions)  (BF = 292.282424605006 )> cat("roberta_neg_roberta_neg:",roberta_neg_roberta_neg)
roberta_neg_roberta_neg: Strong Evidence for no effect (same distribution)  (BF = 139.247674272869 )> cat("roberta_neg_roberta_wsj:",roberta_neg_roberta_wsj)
roberta_neg_roberta_wsj: Strong Evidence for no effect (same distribution)  (BF = 57.0133587842131 )> cat("roberta_neg_udel_msr:",roberta_neg_udel_msr)
roberta_neg_udel_msr: Very Strong Evidence for effect (different distributions)  (BF = 2680967.45989555 )> cat("roberta_neg_udel_neg:",roberta_neg_udel_neg)
